id,hinban,item,description,remarks,unit,uprice,ouritem,vol,zaiko,kento,hcode,cat
3318,TF943B-49B,TF943B-49B,"TF943B-11L ボディヌードのみ","腰クッションなし",pcs,166.9,"",0.97,0,0,"",""
3319,"TF943B-49C S0/13","TF943B-49C S0/13","only cover","TF943B-11Lカバー S0/13",set,"","","",0,0,"",""
3324,"TF943B-50 SN/01","TF943B-11R SN/01","","腰クッションなし / 脚 DB 同梱",pcs,222.2,"",0.97,0,0,"",""
3325,"TF943B-50 SN/02","TF943B-11R SN/02","","腰クッションなし / 脚 DB 同梱",pcs,222.2,"",0.97,0,0,"",""
3326,"TF943B-50 SN/03","TF943B-11R CHILI25","(腰クッション×1込み)","",pcs,"","","",0,0,"",""
3327,"TF943B-50 SN/03","TF943B-11R SN/03","","腰クッションなし / 脚 DB 同梱",pcs,222.2,"",0.97,0,0,"",""
3328,"TF943B-50 SO/12","TF943B-50 SO/12","TF943B-11R SO/12","腰クッションなし",pcs,222.2,"",0.97,0,0,"",""
3329,"TF943B-50 SO/13","TF943B-11R SO/13","腰クッション無し 脚色=DB","",pcs,"","","",0,0,"",""
3330,"TF943B-50 SO/14","TF943B-50 SO/14","TF943B-11R SO/14","腰クッションなし",pcs,"","",0.97,0,0,"",""
3331,"TF943B-50 SP/178","TF943B-11R SP/178","腰クッションなし DB脚同梱","別製品",pcs,222.2,"",0.97,0,0,"",""
3332,"TF943B-50 SP/181","TF943B-11R SP/181","腰クッションなし DB脚同梱","別製品",pcs,222.2,"",0.97,0,0,"",""
3333,"TF943B-50 SP/183","TF943B-11R SP/183","腰クッションなし DB脚同梱","別製品",pcs,222.2,"",0.97,0,0,"",""
3334,"TF943B-50 SP/196","TF943B-50 SP/196","TF943B-11R SP/196 ラルク","別製品 腰クッションなし DB脚同梱",pcs,222.2,"",0.97,0,0,"",""
3335,"TF943B-50 DB SP/206","TF943B-50 SP/206","","別製品 腰クッションなし DB脚同梱",pcs,"","","",0,0,"",""
3336,"TF943B-50 SP/206","TF943B-50 SP/206","","別製品 腰クッションなし DB脚同梱",pcs,"確認中","TF943B-50 SP/206",0.97,0,0,"",""
3337,"TF943B-50C SN/01","TF943B-50C SN/01","only cover","CHILI:01 (ベージュ)",set,"","","",0,0,"",""
3338,"TF962-06 11060A1","TF962-06 11060A1","布地11060A1","",pcs,"","","",0,0,"",""
3339,"TF962-06 11060J1","TF962-06 11060J1","布地11060J1 ","CU35同梱(布地=11060JI)",pcs,"","","",0,0,"",""
3340,"TF962-06 11060J1","TF962-06 11060J1","布地11060J1","",pcs,"","","",0,0,"",""
3341,"TF962-06 11060J2","TF962-06 11060J2","布地11060J2","",pcs,"","","",0,0,"",""
3342,"TF962-06 CHILI01","TF962-20L CHILI01","CU35、1個同梱 クッション布地CHILI01","",pcs,"","","",0,0,"",""
3343,"TF962-06 CHILI17","TF962-20L CHILI17","CU35、1個同梱 クッション布地CHILI17","",pcs,"","","",0,0,"",""
3344,"TF962-06 FIT/BE","TF962-20L FIT/BE","","",pcs,"","","",0,0,"",""
3345,"TF962-06 FIT/DBR","TF962-20L FIT/DBR","","",pcs,"","","",0,0,"",""
3346,"TF962-06 FIT/DGY","TF962-20L FIT/DGY","","",pcs,"","","",0,0,"",""
3347,"TF962-06 FIT/GRY","TF962-20L FIT/GRY","","",pcs,"","","",0,0,"",""
3348,"TF962-06 SN/01","TF962-06 CHILI01","布地 CHILI01","CU35同梱(布地=CHILI01)",pcs,"","","",0,0,"",""
3349,"TF962-06 SN/02","TF962-06 CHILI17","布地 CHILI17","CU35同梱(布地=CHILI17)",pcs,"","","",0,0,"",""
3350,"TF962-06 SN/03","TF962-06 CHILI25","布地 CHILI25","CU35同梱(布地=CHILI25)",pcs,"","","",0,0,"",""
3351,"TF962-06 SP/140","TF962-06 SP/140","布地SP/140 ","CU35同梱=SP/140",pcs,"","","",0,0,"",""
3352,"TF962-06 SP/146","TF962-20L SP/146","","",pcs,"","","",0,0,"",""
3353,"TF962-06 SP/146","TF962-06 SP/146","布地SP/146 ","CU35同梱=SP/146",pcs,"","","",0,0,"",""
3354,"TF962-06 SP/156","TF962-20L SP/156","","",pcs,"","","",0,0,"",""
